"record_nbr","pay_year","fms_dept","fms_department_title","job_class_pgrade","job_title","employment_type","job_status","mou","mou_title","regular_pay","overtime_pay","all_other_pay","total_pay","city_retirement_contributions","benefit_pay","gender","ethnicity"
"303639353632","2018","98","WATER AND POWER","941-1","CONSTR HLPR","FULL_TIME","ACTIVE","Z","DAILY RATE","68827.86","771.53","40024.64","109624.03","0","0","MALE","HISPANIC"
"303732303034","2018","98","WATER AND POWER","979-1","CONSTR WLDR","FULL_TIME","NOT_ACTIVE","Z","DAILY RATE","16129.24","9692.65","13266.07","39087.96","0","0","MALE","CAUCASIAN"
"303830353933","2018","94","TRANSPORTATION","3180-2","CROSSING GUARD","PART_TIME","NOT_ACTIVE","34","CROSSING GUARDS","5862.6","0","2070","7932.6","0","0","FEMALE","HISPANIC"
"313036363133","2018","98","WATER AND POWER","1141-5","CLK","PART_TIME","NOT_ACTIVE","7","CLERICAL UNIT","0","0","1659.73","1659.73","0","0","MALE","ASIAN AMERICAN"
"323133303933","2018","98","WATER AND POWER","994-1","CONSTR ELTL HLPR","FULL_TIME","NOT_ACTIVE","Z","DAILY RATE","13449.32","7766.28","15866.489999999998","37082.09","0","0","MALE","HISPANIC"
"343833313233","2018","98","WATER AND POWER","904-1","CONSTR BLRMKR","FULL_TIME","ACTIVE","Z","DAILY RATE","81772.33","20288.32","62298","164358.65","0","0","MALE","HISPANIC"
"353335303034","2018","98","WATER AND POWER","7554-1","MCHL ENGG ASSOC","FULL_TIME","ACTIVE","3","PROFESSIONAL UNIT","13008","0","120","13128","0","1915.8","MALE","BLACK"
"353436333933","2018","98","WATER AND POWER","941-1","CONSTR HLPR","FULL_TIME","NOT_ACTIVE","Z","DAILY RATE","5177.79","0","2905.24","8083.03","0","0","MALE","HISPANIC"
"353731353933","2018","98","WATER AND POWER","995-1","CONSTR ELTL MCHC","FULL_TIME","ACTIVE","Z","DAILY RATE","67979.06","47807.46","64473.360000000015","180259.88","0","0","MALE","HISPANIC"
"3038373337","2018","28","COUNCIL","0182-0","COUNCIL AIDE III","FULL_TIME","NOT_ACTIVE","00","NON-REPRESENTED","0","0","270.62","270.62","0","0","MALE","HISPANIC"
"363737393933","2018","98","WATER AND POWER","941-1","CONSTR HLPR","FULL_TIME","ACTIVE","Z","DAILY RATE","18492.24","96.4","10747.629999999997","29336.27","0","0","MALE","HISPANIC"
"373131313034","2018","98","WATER AND POWER","995-1","CONSTR ELTL MCHC","FULL_TIME","ACTIVE","Z","DAILY RATE","6918.6","0","4515.4","11434","0","0","MALE","CAUCASIAN"
